"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Município";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Município";"Cor ou raça";"Idade";"2022"
"Município";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Município";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Barra do Chapéu (SP)";"Total";"Total";"100,00";"52,69";"47,31";"91,19";"48,27";"42,92";"8,81";"4,42";"4,39"
"Barra do Turvo (SP)";"Total";"Total";"100,00";"50,67";"49,33";"87,77";"44,87";"42,89";"12,23";"5,80";"6,43"
"Barretos (SP)";"Total";"Total";"100,00";"47,26";"52,74";"97,62";"46,13";"51,49";"2,38";"1,13";"1,25"
"Barrinha (SP)";"Total";"Total";"100,00";"48,89";"51,11";"93,74";"46,08";"47,66";"6,26";"2,81";"3,45"
"Barueri (SP)";"Total";"Total";"100,00";"47,18";"52,82";"97,39";"46,08";"51,30";"2,61";"1,10";"1,51"
"Bastos (SP)";"Total";"Total";"100,00";"48,58";"51,42";"95,80";"46,79";"49,00";"4,20";"1,79";"2,42"
"Batatais (SP)";"Total";"Total";"100,00";"48,02";"51,98";"96,31";"46,34";"49,97";"3,69";"1,68";"2,01"
"Bauru (SP)";"Total";"Total";"100,00";"47,89";"52,11";"97,90";"47,01";"50,90";"2,10";"0,88";"1,22"
"Bebedouro (SP)";"Total";"Total";"100,00";"47,71";"52,29";"97,31";"46,56";"50,75";"2,69";"1,15";"1,55"
"Bento de Abreu (SP)";"Total";"Total";"100,00";"49,38";"50,62";"94,20";"47,13";"47,08";"5,80";"2,25";"3,54"
"Bernardino de Campos (SP)";"Total";"Total";"100,00";"53,35";"46,65";"96,71";"52,06";"44,66";"3,29";"1,30";"1,99"
"Bertioga (SP)";"Total";"Total";"100,00";"49,33";"50,67";"96,46";"47,47";"48,99";"3,54";"1,86";"1,68"
"Bilac (SP)";"Total";"Total";"100,00";"48,65";"51,35";"95,66";"46,94";"48,71";"4,34";"1,71";"2,64"
"Birigui (SP)";"Total";"Total";"100,00";"47,71";"52,29";"96,71";"46,33";"50,38";"3,29";"1,38";"1,91"
"Biritiba Mirim (SP)";"Total";"Total";"100,00";"49,53";"50,47";"94,09";"46,88";"47,21";"5,91";"2,66";"3,26"
"Boa Esperança do Sul (SP)";"Total";"Total";"100,00";"48,65";"51,35";"92,60";"45,45";"47,15";"7,40";"3,21";"4,19"
"Bocaina (SP)";"Total";"Total";"100,00";"48,57";"51,43";"94,99";"46,40";"48,59";"5,01";"2,17";"2,84"
"Bofete (SP)";"Total";"Total";"100,00";"50,33";"49,67";"94,29";"47,67";"46,62";"5,71";"2,67";"3,04"
"Boituva (SP)";"Total";"Total";"100,00";"48,72";"51,28";"96,98";"47,31";"49,67";"3,02";"1,41";"1,62"
"Bom Jesus dos Perdões (SP)";"Total";"Total";"100,00";"49,31";"50,69";"95,63";"47,29";"48,34";"4,37";"2,02";"2,35"
"Bom Sucesso de Itararé (SP)";"Total";"Total";"100,00";"50,82";"49,18";"94,21";"48,11";"46,10";"5,79";"2,71";"3,08"
"Borá (SP)";"Total";"Total";"100,00";"50,76";"49,24";"94,36";"48,01";"46,35";"5,64";"2,75";"2,89"
"Boracéia (SP)";"Total";"Total";"100,00";"49,95";"50,05";"95,10";"47,89";"47,22";"4,90";"2,06";"2,84"
"Borborema (SP)";"Total";"Total";"100,00";"49,11";"50,89";"94,20";"46,46";"47,74";"5,80";"2,65";"3,15"
"Borebi (SP)";"Total";"Total";"100,00";"48,80";"51,20";"96,56";"47,34";"49,22";"3,44";"1,46";"1,98"
"Botucatu (SP)";"Total";"Total";"100,00";"47,34";"52,66";"97,43";"46,23";"51,20";"2,57";"1,12";"1,45"
"Bragança Paulista (SP)";"Total";"Total";"100,00";"47,95";"52,05";"97,28";"46,76";"50,52";"2,72";"1,19";"1,53"
"Braúna (SP)";"Total";"Total";"100,00";"48,87";"51,13";"92,22";"45,27";"46,95";"7,78";"3,60";"4,18"
"Brejo Alegre (SP)";"Total";"Total";"100,00";"49,88";"50,12";"93,68";"46,81";"46,86";"6,32";"3,07";"3,26"
"Brodowski (SP)";"Total";"Total";"100,00";"48,69";"51,31";"96,82";"47,11";"49,71";"3,18";"1,58";"1,61"
"Brotas (SP)";"Total";"Total";"100,00";"48,34";"51,66";"96,80";"46,78";"50,02";"3,20";"1,56";"1,64"
"Buri (SP)";"Total";"Total";"100,00";"50,07";"49,93";"93,87";"47,28";"46,59";"6,13";"2,79";"3,34"
"Buritama (SP)";"Total";"Total";"100,00";"48,32";"51,68";"94,49";"45,73";"48,75";"5,51";"2,59";"2,93"
"Buritizal (SP)";"Total";"Total";"100,00";"48,46";"51,54";"94,85";"46,06";"48,79";"5,15";"2,39";"2,75"
"Cabrália Paulista (SP)";"Total";"Total";"100,00";"50,20";"49,80";"93,76";"47,28";"46,48";"6,24";"2,92";"3,32"
"Cabreúva (SP)";"Total";"Total";"100,00";"49,03";"50,97";"96,30";"47,38";"48,93";"3,70";"1,66";"2,04"
"Caçapava (SP)";"Total";"Total";"100,00";"48,41";"51,59";"97,07";"47,16";"49,91";"2,93";"1,25";"1,68"
"Cachoeira Paulista (SP)";"Total";"Total";"100,00";"47,53";"52,47";"96,49";"45,90";"50,59";"3,51";"1,63";"1,88"
"Caconde (SP)";"Total";"Total";"100,00";"49,17";"50,83";"94,72";"46,35";"48,37";"5,28";"2,81";"2,47"
"Cafelândia (SP)";"Total";"Total";"100,00";"47,89";"52,11";"94,25";"45,30";"48,95";"5,75";"2,59";"3,16"
"Caiabu (SP)";"Total";"Total";"100,00";"50,13";"49,87";"92,84";"47,01";"45,83";"7,16";"3,13";"4,04"
"Caieiras (SP)";"Total";"Total";"100,00";"47,77";"52,23";"97,25";"46,60";"50,66";"2,75";"1,17";"1,57"
"Caiuá (SP)";"Total";"Total";"100,00";"61,64";"38,36";"92,93";"57,89";"35,03";"7,07";"3,75";"3,33"
"Cajamar (SP)";"Total";"Total";"100,00";"48,49";"51,51";"96,53";"46,88";"49,65";"3,47";"1,61";"1,86"
"Cajati (SP)";"Total";"Total";"100,00";"50,24";"49,76";"93,55";"47,50";"46,05";"6,45";"2,73";"3,72"
"Cajobi (SP)";"Total";"Total";"100,00";"49,44";"50,56";"94,68";"47,23";"47,44";"5,32";"2,20";"3,12"
"Cajuru (SP)";"Total";"Total";"100,00";"49,01";"50,99";"95,16";"46,61";"48,55";"4,84";"2,39";"2,45"
"Campina do Monte Alegre (SP)";"Total";"Total";"100,00";"50,28";"49,72";"94,63";"47,68";"46,95";"5,37";"2,60";"2,77"
"Campinas (SP)";"Total";"Total";"100,00";"46,97";"53,03";"97,59";"45,93";"51,65";"2,41";"1,03";"1,38"
"Campo Limpo Paulista (SP)";"Total";"Total";"100,00";"48,22";"51,78";"96,77";"46,86";"49,91";"3,23";"1,36";"1,87"
"Campos do Jordão (SP)";"Total";"Total";"100,00";"48,26";"51,74";"96,46";"46,62";"49,84";"3,54";"1,63";"1,90"
"Campos Novos Paulista (SP)";"Total";"Total";"100,00";"50,77";"49,23";"93,27";"47,45";"45,82";"6,73";"3,33";"3,40"
"Cananéia (SP)";"Total";"Total";"100,00";"48,82";"51,18";"95,28";"46,96";"48,32";"4,72";"1,86";"2,86"
"Canas (SP)";"Total";"Total";"100,00";"49,40";"50,60";"95,86";"47,26";"48,59";"4,14";"2,14";"2,01"
"Cândido Mota (SP)";"Total";"Total";"100,00";"48,23";"51,77";"95,31";"46,23";"49,09";"4,69";"2,00";"2,69"
"Cândido Rodrigues (SP)";"Total";"Total";"100,00";"49,29";"50,71";"94,55";"47,08";"47,48";"5,45";"2,22";"3,23"
"Canitar (SP)";"Total";"Total";"100,00";"49,48";"50,52";"93,68";"47,03";"46,64";"6,32";"2,44";"3,88"
"Capão Bonito (SP)";"Total";"Total";"100,00";"49,22";"50,78";"94,21";"46,79";"47,42";"5,79";"2,44";"3,36"
"Capela do Alto (SP)";"Total";"Total";"100,00";"56,01";"43,99";"95,58";"53,91";"41,67";"4,42";"2,11";"2,32"
"Capivari (SP)";"Total";"Total";"100,00";"48,59";"51,41";"96,91";"47,24";"49,67";"3,09";"1,36";"1,73"
"Caraguatatuba (SP)";"Total";"Total";"100,00";"47,96";"52,04";"96,49";"46,33";"50,15";"3,51";"1,62";"1,89"
"Carapicuíba (SP)";"Total";"Total";"100,00";"47,30";"52,70";"96,62";"45,85";"50,77";"3,38";"1,45";"1,93"
"Cardoso (SP)";"Total";"Total";"100,00";"48,67";"51,33";"93,44";"45,83";"47,61";"6,56";"2,84";"3,73"
"Casa Branca (SP)";"Total";"Total";"100,00";"51,75";"48,25";"95,98";"49,39";"46,59";"4,02";"2,36";"1,66"
"Cássia dos Coqueiros (SP)";"Total";"Total";"100,00";"50,78";"49,22";"92,98";"47,02";"45,96";"7,02";"3,77";"3,26"
"Castilho (SP)";"Total";"Total";"100,00";"49,06";"50,94";"93,53";"46,24";"47,29";"6,47";"2,82";"3,66"
"Catanduva (SP)";"Total";"Total";"100,00";"47,31";"52,69";"96,80";"46,03";"50,77";"3,20";"1,28";"1,92"
"Catiguá (SP)";"Total";"Total";"100,00";"49,45";"50,55";"95,05";"47,49";"47,56";"4,95";"1,96";"3,00"
"Cedral (SP)";"Total";"Total";"100,00";"49,00";"51,00";"96,80";"47,64";"49,15";"3,20";"1,35";"1,85"
"Cerqueira César (SP)";"Total";"Total";"100,00";"52,27";"47,73";"95,42";"50,08";"45,34";"4,58";"2,19";"2,39"
"Cerquilho (SP)";"Total";"Total";"100,00";"48,35";"51,65";"97,68";"47,30";"50,38";"2,32";"1,05";"1,27"
"Cesário Lange (SP)";"Total";"Total";"100,00";"51,37";"48,63";"95,54";"49,26";"46,28";"4,46";"2,11";"2,35"
"Charqueada (SP)";"Total";"Total";"100,00";"49,37";"50,63";"95,24";"47,19";"48,05";"4,76";"2,18";"2,58"
"Clementina (SP)";"Total";"Total";"100,00";"49,37";"50,63";"93,80";"46,37";"47,43";"6,20";"3,00";"3,20"
"Colina (SP)";"Total";"Total";"100,00";"48,03";"51,97";"95,48";"45,98";"49,50";"4,52";"2,05";"2,47"
"Colômbia (SP)";"Total";"Total";"100,00";"50,03";"49,97";"92,55";"46,37";"46,18";"7,45";"3,66";"3,79"
"Conchal (SP)";"Total";"Total";"100,00";"49,41";"50,59";"93,88";"46,37";"47,51";"6,12";"3,04";"3,08"
"Conchas (SP)";"Total";"Total";"100,00";"49,65";"50,35";"96,19";"47,67";"48,52";"3,81";"1,98";"1,82"
"Cordeirópolis (SP)";"Total";"Total";"100,00";"49,00";"51,00";"97,08";"47,68";"49,40";"2,92";"1,32";"1,60"
"Coroados (SP)";"Total";"Total";"100,00";"49,24";"50,76";"95,78";"47,40";"48,38";"4,22";"1,84";"2,38"
"Coronel Macedo (SP)";"Total";"Total";"100,00";"50,07";"49,93";"91,25";"46,23";"45,02";"8,75";"3,84";"4,91"
"Corumbataí (SP)";"Total";"Total";"100,00";"50,03";"49,97";"94,86";"47,16";"47,70";"5,14";"2,86";"2,27"
"Cosmópolis (SP)";"Total";"Total";"100,00";"48,62";"51,38";"96,64";"47,24";"49,39";"3,36";"1,38";"1,98"
"Cosmorama (SP)";"Total";"Total";"100,00";"49,31";"50,69";"94,00";"46,45";"47,55";"6,00";"2,86";"3,14"
"Cotia (SP)";"Total";"Total";"100,00";"47,75";"52,25";"96,94";"46,36";"50,58";"3,06";"1,38";"1,68"
"Cravinhos (SP)";"Total";"Total";"100,00";"48,77";"51,23";"95,88";"46,94";"48,94";"4,12";"1,82";"2,30"
"Cristais Paulista (SP)";"Total";"Total";"100,00";"49,50";"50,50";"94,30";"46,76";"47,54";"5,70";"2,74";"2,97"
"Cruzália (SP)";"Total";"Total";"100,00";"48,10";"51,90";"94,57";"45,67";"48,90";"5,43";"2,43";"3,00"
"Cruzeiro (SP)";"Total";"Total";"100,00";"47,41";"52,59";"97,74";"46,37";"51,37";"2,26";"1,04";"1,22"
"Cubatão (SP)";"Total";"Total";"100,00";"47,37";"52,63";"95,45";"45,38";"50,07";"4,55";"1,99";"2,56"
"Cunha (SP)";"Total";"Total";"100,00";"50,38";"49,62";"93,26";"46,79";"46,48";"6,74";"3,60";"3,14"
"Descalvado (SP)";"Total";"Total";"100,00";"48,84";"51,16";"96,19";"47,11";"49,08";"3,81";"1,73";"2,08"
"Diadema (SP)";"Total";"Total";"100,00";"46,98";"53,02";"96,78";"45,65";"51,12";"3,22";"1,33";"1,90"
"Dirce Reis (SP)";"Total";"Total";"100,00";"50,55";"49,45";"90,72";"46,02";"44,70";"9,28";"4,53";"4,75"
"Divinolândia (SP)";"Total";"Total";"100,00";"49,04";"50,96";"95,06";"46,56";"48,50";"4,94";"2,48";"2,46"
"Dobrada (SP)";"Total";"Total";"100,00";"49,76";"50,24";"90,77";"45,10";"45,67";"9,23";"4,67";"4,57"
"Dois Córregos (SP)";"Total";"Total";"100,00";"48,78";"51,22";"94,19";"45,80";"48,39";"5,81";"2,97";"2,84"
"Dolcinópolis (SP)";"Total";"Total";"100,00";"50,24";"49,76";"92,44";"46,76";"45,68";"7,56";"3,49";"4,08"
"Dourado (SP)";"Total";"Total";"100,00";"49,21";"50,79";"95,13";"47,13";"48,00";"4,87";"2,08";"2,78"
"Dracena (SP)";"Total";"Total";"100,00";"48,69";"51,31";"96,53";"47,28";"49,25";"3,47";"1,41";"2,06"
"Duartina (SP)";"Total";"Total";"100,00";"48,53";"51,47";"95,73";"46,62";"49,12";"4,27";"1,91";"2,36"
"Dumont (SP)";"Total";"Total";"100,00";"48,76";"51,24";"96,08";"47,00";"49,08";"3,92";"1,76";"2,16"
"Echaporã (SP)";"Total";"Total";"100,00";"48,68";"51,32";"94,69";"46,07";"48,62";"5,31";"2,61";"2,69"
"Eldorado (SP)";"Total";"Total";"100,00";"49,92";"50,08";"92,38";"46,22";"46,16";"7,62";"3,70";"3,92"
"Elias Fausto (SP)";"Total";"Total";"100,00";"49,97";"50,03";"94,67";"47,51";"47,15";"5,33";"2,46";"2,87"
"Elisiário (SP)";"Total";"Total";"100,00";"50,89";"49,11";"93,67";"48,03";"45,64";"6,33";"2,85";"3,47"
"Embaúba (SP)";"Total";"Total";"100,00";"50,21";"49,79";"93,81";"47,32";"46,49";"6,19";"2,89";"3,30"
"Embu das Artes (SP)";"Total";"Total";"100,00";"47,28";"52,72";"95,75";"45,43";"50,33";"4,25";"1,85";"2,40"
"Embu-Guaçu (SP)";"Total";"Total";"100,00";"48,43";"51,57";"95,43";"46,27";"49,17";"4,57";"2,16";"2,40"
"Emilianópolis (SP)";"Total";"Total";"100,00";"49,53";"50,47";"92,43";"46,14";"46,29";"7,57";"3,39";"4,18"
"Engenheiro Coelho (SP)";"Total";"Total";"100,00";"49,83";"50,17";"94,26";"47,01";"47,25";"5,74";"2,82";"2,92"
"Espírito Santo do Pinhal (SP)";"Total";"Total";"100,00";"47,89";"52,11";"96,01";"46,11";"49,90";"3,99";"1,78";"2,20"
"Espírito Santo do Turvo (SP)";"Total";"Total";"100,00";"49,40";"50,60";"91,66";"45,43";"46,23";"8,34";"3,97";"4,37"
"Estrela d'Oeste (SP)";"Total";"Total";"100,00";"50,70";"49,30";"94,05";"47,86";"46,19";"5,95";"2,84";"3,11"
"Estrela do Norte (SP)";"Total";"Total";"100,00";"49,11";"50,89";"92,42";"45,45";"46,96";"7,58";"3,65";"3,93"
"Euclides da Cunha Paulista (SP)";"Total";"Total";"100,00";"48,29";"51,71";"88,36";"43,22";"45,14";"11,64";"5,08";"6,56"
"Fartura (SP)";"Total";"Total";"100,00";"48,34";"51,66";"95,36";"46,16";"49,20";"4,64";"2,18";"2,46"
"Fernandópolis (SP)";"Total";"Total";"100,00";"47,65";"52,35";"96,22";"46,08";"50,13";"3,78";"1,56";"2,22"
"Fernando Prestes (SP)";"Total";"Total";"100,00";"48,77";"51,23";"93,65";"45,92";"47,73";"6,35";"2,85";"3,49"
"Fernão (SP)";"Total";"Total";"100,00";"49,81";"50,19";"94,95";"47,44";"47,51";"5,05";"2,38";"2,67"
"Ferraz de Vasconcelos (SP)";"Total";"Total";"100,00";"47,64";"52,36";"96,15";"45,92";"50,23";"3,85";"1,72";"2,13"
"Flora Rica (SP)";"Total";"Total";"100,00";"48,53";"51,47";"91,82";"45,27";"46,54";"8,18";"3,26";"4,92"
"Floreal (SP)";"Total";"Total";"100,00";"48,07";"51,93";"93,70";"45,26";"48,45";"6,30";"2,81";"3,48"
"Flórida Paulista (SP)";"Total";"Total";"100,00";"55,32";"44,68";"94,71";"53,15";"41,56";"5,29";"2,17";"3,12"
"Florínea (SP)";"Total";"Total";"100,00";"66,52";"33,48";"93,24";"62,15";"31,09";"6,76";"4,36";"2,39"
"Franca (SP)";"Total";"Total";"100,00";"47,83";"52,17";"97,88";"46,90";"50,98";"2,12";"0,93";"1,20"
"Francisco Morato (SP)";"Total";"Total";"100,00";"48,16";"51,84";"94,88";"45,80";"49,08";"5,12";"2,36";"2,76"
"Franco da Rocha (SP)";"Total";"Total";"100,00";"50,00";"50,00";"95,96";"48,08";"47,88";"4,04";"1,92";"2,12"
"Gabriel Monteiro (SP)";"Total";"Total";"100,00";"49,65";"50,35";"94,75";"47,35";"47,40";"5,25";"2,30";"2,95"
"Gália (SP)";"Total";"Total";"100,00";"48,48";"51,52";"93,43";"45,57";"47,86";"6,57";"2,91";"3,66"
"Garça (SP)";"Total";"Total";"100,00";"47,65";"52,35";"95,89";"46,06";"49,84";"4,11";"1,59";"2,51"
"Gastão Vidigal (SP)";"Total";"Total";"100,00";"48,20";"51,80";"90,92";"43,88";"47,04";"9,08";"4,32";"4,76"
"Gavião Peixoto (SP)";"Total";"Total";"100,00";"49,29";"50,71";"94,26";"46,71";"47,55";"5,74";"2,57";"3,16"
"General Salgado (SP)";"Total";"Total";"100,00";"48,93";"51,07";"93,79";"46,25";"47,53";"6,21";"2,67";"3,54"
"Getulina (SP)";"Total";"Total";"100,00";"55,87";"44,13";"94,52";"53,48";"41,04";"5,48";"2,40";"3,09"
"Glicério (SP)";"Total";"Total";"100,00";"48,43";"51,57";"94,08";"45,92";"48,17";"5,92";"2,51";"3,40"
"Guaiçara (SP)";"Total";"Total";"100,00";"48,85";"51,15";"95,56";"46,95";"48,61";"4,44";"1,90";"2,54"
"Guaimbê (SP)";"Total";"Total";"100,00";"48,99";"51,01";"92,83";"45,81";"47,02";"7,17";"3,18";"3,99"
"Guaíra (SP)";"Total";"Total";"100,00";"48,35";"51,65";"96,07";"46,67";"49,40";"3,93";"1,68";"2,25"
"Guapiaçu (SP)";"Total";"Total";"100,00";"49,32";"50,68";"95,26";"47,08";"48,18";"4,74";"2,24";"2,49"
"Guapiara (SP)";"Total";"Total";"100,00";"50,94";"49,06";"91,30";"47,41";"43,89";"8,70";"3,53";"5,17"
"Guará (SP)";"Total";"Total";"100,00";"48,37";"51,63";"93,72";"45,22";"48,50";"6,28";"3,15";"3,13"
"Guaraçaí (SP)";"Total";"Total";"100,00";"48,64";"51,36";"93,20";"45,67";"47,54";"6,80";"2,97";"3,82"
"Guaraci (SP)";"Total";"Total";"100,00";"49,92";"50,08";"93,48";"46,25";"47,23";"6,52";"3,67";"2,85"
"Guarani d'Oeste (SP)";"Total";"Total";"100,00";"49,18";"50,82";"91,89";"45,64";"46,25";"8,11";"3,54";"4,58"
"Guarantã (SP)";"Total";"Total";"100,00";"49,17";"50,83";"92,76";"45,89";"46,87";"7,24";"3,28";"3,96"
"Guararapes (SP)";"Total";"Total";"100,00";"48,23";"51,77";"95,22";"46,11";"49,11";"4,78";"2,12";"2,67"
"Guararema (SP)";"Total";"Total";"100,00";"48,52";"51,48";"95,21";"46,35";"48,86";"4,79";"2,17";"2,62"
"Guaratinguetá (SP)";"Total";"Total";"100,00";"47,32";"52,68";"97,67";"46,20";"51,47";"2,33";"1,12";"1,20"
"Guareí (SP)";"Total";"Total";"100,00";"61,81";"38,19";"95,07";"58,95";"36,12";"4,93";"2,86";"2,07"
"Guariba (SP)";"Total";"Total";"100,00";"47,38";"52,62";"94,05";"44,75";"49,30";"5,95";"2,63";"3,32"
"Guarujá (SP)";"Total";"Total";"100,00";"47,29";"52,71";"96,15";"45,47";"50,69";"3,85";"1,83";"2,02"
"Guarulhos (SP)";"Total";"Total";"100,00";"47,39";"52,61";"96,78";"45,97";"50,81";"3,22";"1,42";"1,80"
"Guatapará (SP)";"Total";"Total";"100,00";"50,20";"49,80";"93,33";"47,04";"46,29";"6,67";"3,16";"3,51"
"Guzolândia (SP)";"Total";"Total";"100,00";"50,97";"49,03";"90,03";"46,38";"43,64";"9,97";"4,58";"5,39"
"Herculândia (SP)";"Total";"Total";"100,00";"49,09";"50,91";"94,53";"46,84";"47,70";"5,47";"2,26";"3,21"
"Holambra (SP)";"Total";"Total";"100,00";"48,95";"51,05";"96,51";"47,34";"49,17";"3,49";"1,62";"1,87"
"Hortolândia (SP)";"Total";"Total";"100,00";"49,19";"50,81";"96,93";"47,89";"49,04";"3,07";"1,30";"1,78"
"Iacanga (SP)";"Total";"Total";"100,00";"49,00";"51,00";"96,52";"47,52";"49,00";"3,48";"1,48";"2,00"
"Iacri (SP)";"Total";"Total";"100,00";"49,15";"50,85";"93,42";"46,32";"47,10";"6,58";"2,83";"3,75"
"Iaras (SP)";"Total";"Total";"100,00";"70,52";"29,48";"94,63";"67,16";"27,47";"5,37";"3,36";"2,01"
"Ibaté (SP)";"Total";"Total";"100,00";"49,34";"50,66";"95,08";"47,04";"48,04";"4,92";"2,30";"2,62"
"Ibirá (SP)";"Total";"Total";"100,00";"48,61";"51,39";"94,85";"46,29";"48,57";"5,15";"2,32";"2,82"
"Ibirarema (SP)";"Total";"Total";"100,00";"48,84";"51,16";"94,59";"46,51";"48,08";"5,41";"2,33";"3,08"
"Ibitinga (SP)";"Total";"Total";"100,00";"48,42";"51,58";"96,45";"46,80";"49,65";"3,55";"1,62";"1,93"
"Ibiúna (SP)";"Total";"Total";"100,00";"49,88";"50,12";"93,94";"47,18";"46,75";"6,06";"2,69";"3,37"
"Icém (SP)";"Total";"Total";"100,00";"55,84";"44,16";"95,39";"53,36";"42,03";"4,61";"2,48";"2,13"
"Iepê (SP)";"Total";"Total";"100,00";"48,49";"51,51";"95,12";"46,24";"48,88";"4,88";"2,25";"2,63"
"Igaraçu do Tietê (SP)";"Total";"Total";"100,00";"49,36";"50,64";"94,19";"46,89";"47,31";"5,81";"2,47";"3,34"
"Igarapava (SP)";"Total";"Total";"100,00";"47,84";"52,16";"94,84";"45,31";"49,52";"5,16";"2,52";"2,64"
"Igaratá (SP)";"Total";"Total";"100,00";"50,17";"49,83";"92,85";"46,54";"46,31";"7,15";"3,63";"3,52"
"Iguape (SP)";"Total";"Total";"100,00";"49,64";"50,36";"94,18";"46,77";"47,41";"5,82";"2,87";"2,96"
"Ilhabela (SP)";"Total";"Total";"100,00";"49,00";"51,00";"96,72";"47,29";"49,43";"3,28";"1,71";"1,57"
"Ilha Comprida (SP)";"Total";"Total";"100,00";"48,60";"51,40";"95,84";"46,53";"49,31";"4,16";"2,06";"2,09"
"Ilha Solteira (SP)";"Total";"Total";"100,00";"47,71";"52,29";"96,63";"46,20";"50,43";"3,37";"1,51";"1,87"
"Indaiatuba (SP)";"Total";"Total";"100,00";"48,37";"51,63";"97,88";"47,44";"50,44";"2,12";"0,93";"1,19"
"Indiana (SP)";"Total";"Total";"100,00";"49,51";"50,49";"95,47";"47,22";"48,25";"4,53";"2,29";"2,24"
"Indiaporã (SP)";"Total";"Total";"100,00";"48,30";"51,70";"91,57";"43,74";"47,83";"8,43";"4,55";"3,87"
"Inúbia Paulista (SP)";"Total";"Total";"100,00";"49,18";"50,82";"94,03";"46,41";"47,63";"5,97";"2,77";"3,20"
"Ipaussu (SP)";"Total";"Total";"100,00";"48,41";"51,59";"95,44";"46,77";"48,67";"4,56";"1,64";"2,92"
"Iperó (SP)";"Total";"Total";"100,00";"54,29";"45,71";"95,97";"52,24";"43,73";"4,03";"2,04";"1,98"
"Ipeúna (SP)";"Total";"Total";"100,00";"49,67";"50,33";"95,56";"47,43";"48,13";"4,44";"2,25";"2,19"
"Ipiguá (SP)";"Total";"Total";"100,00";"49,59";"50,41";"95,98";"47,85";"48,13";"4,02";"1,74";"2,28"
"Iporanga (SP)";"Total";"Total";"100,00";"50,11";"49,89";"93,31";"47,02";"46,29";"6,69";"3,09";"3,60"
"Ipuã (SP)";"Total";"Total";"100,00";"49,56";"50,44";"94,77";"47,07";"47,70";"5,23";"2,50";"2,73"
"Iracemápolis (SP)";"Total";"Total";"100,00";"49,13";"50,87";"97,13";"47,80";"49,33";"2,87";"1,33";"1,54"
"Irapuã (SP)";"Total";"Total";"100,00";"50,12";"49,88";"92,93";"46,66";"46,27";"7,07";"3,45";"3,61"
"Irapuru (SP)";"Total";"Total";"100,00";"58,28";"41,72";"94,20";"55,52";"38,69";"5,80";"2,76";"3,04"
"Itaberá (SP)";"Total";"Total";"100,00";"49,97";"50,03";"94,59";"47,51";"47,07";"5,41";"2,46";"2,96"
"Itaí (SP)";"Total";"Total";"100,00";"52,12";"47,88";"93,88";"49,15";"44,72";"6,12";"2,96";"3,16"
"Itajobi (SP)";"Total";"Total";"100,00";"49,62";"50,38";"95,56";"47,51";"48,05";"4,44";"2,11";"2,33"
"Itaju (SP)";"Total";"Total";"100,00";"49,93";"50,07";"94,82";"47,29";"47,53";"5,18";"2,64";"2,54"
"Itanhaém (SP)";"Total";"Total";"100,00";"47,37";"52,63";"95,92";"45,36";"50,56";"4,08";"2,01";"2,08"
"Itaoca (SP)";"Total";"Total";"100,00";"50,49";"49,51";"90,08";"45,72";"44,37";"9,92";"4,78";"5,14"
"Itapecerica da Serra (SP)";"Total";"Total";"100,00";"48,18";"51,82";"95,52";"46,12";"49,40";"4,48";"2,07";"2,42"
"Itapetininga (SP)";"Total";"Total";"100,00";"49,64";"50,36";"96,87";"48,26";"48,62";"3,13";"1,38";"1,75"
"Itapeva (SP)";"Total";"Total";"100,00";"48,62";"51,38";"95,59";"46,61";"48,97";"4,41";"2,01";"2,41"
"Itapevi (SP)";"Total";"Total";"100,00";"48,20";"51,80";"96,31";"46,54";"49,76";"3,69";"1,65";"2,04"
"Itapira (SP)";"Total";"Total";"100,00";"48,63";"51,37";"96,41";"46,98";"49,43";"3,59";"1,64";"1,95"
"Itapirapuã Paulista (SP)";"Total";"Total";"100,00";"52,18";"47,82";"90,09";"47,27";"42,83";"9,91";"4,91";"5,00"
"Itápolis (SP)";"Total";"Total";"100,00";"48,40";"51,60";"95,15";"46,27";"48,88";"4,85";"2,13";"2,72"
"Itaporanga (SP)";"Total";"Total";"100,00";"49,05";"50,95";"92,35";"45,61";"46,74";"7,65";"3,44";"4,21"
"Itapuí (SP)";"Total";"Total";"100,00";"49,69";"50,31";"94,82";"47,25";"47,57";"5,18";"2,43";"2,75"
"Itapura (SP)";"Total";"Total";"100,00";"49,74";"50,26";"93,28";"46,72";"46,56";"6,72";"3,02";"3,70"
"Itaquaquecetuba (SP)";"Total";"Total";"100,00";"48,16";"51,84";"95,30";"45,97";"49,33";"4,70";"2,18";"2,52"
"Itararé (SP)";"Total";"Total";"100,00";"47,90";"52,10";"95,61";"46,04";"49,57";"4,39";"1,86";"2,52"
"Itariri (SP)";"Total";"Total";"100,00";"49,29";"50,71";"93,93";"46,28";"47,65";"6,07";"3,01";"3,06"
"Itatiba (SP)";"Total";"Total";"100,00";"48,40";"51,60";"97,41";"47,26";"50,15";"2,59";"1,14";"1,45"
