"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Município";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Município";"Cor ou raça";"Idade";"2022"
"Município";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Município";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Estrela do Norte (SP)";"Total";"Total";"2189";"1075";"1114";"2023";"995";"1028";"166";"80";"86"
"Euclides da Cunha Paulista (SP)";"Total";"Total";"6384";"3083";"3301";"5641";"2759";"2882";"743";"324";"419"
"Fartura (SP)";"Total";"Total";"13645";"6596";"7049";"13012";"6298";"6714";"633";"298";"335"
"Fernandópolis (SP)";"Total";"Total";"59534";"28366";"31168";"57281";"27436";"29845";"2253";"930";"1323"
"Fernando Prestes (SP)";"Total";"Total";"5011";"2444";"2567";"4693";"2301";"2392";"318";"143";"175"
"Fernão (SP)";"Total";"Total";"1347";"671";"676";"1279";"639";"640";"68";"32";"36"
"Ferraz de Vasconcelos (SP)";"Total";"Total";"141902";"67598";"74304";"136434";"65156";"71278";"5468";"2442";"3026"
"Flora Rica (SP)";"Total";"Total";"1259";"611";"648";"1156";"570";"586";"103";"41";"62"
"Floreal (SP)";"Total";"Total";"2382";"1145";"1237";"2232";"1078";"1154";"150";"67";"83"
"Flórida Paulista (SP)";"Total";"Total";"10986";"6077";"4909";"10405";"5839";"4566";"581";"238";"343"
"Florínea (SP)";"Total";"Total";"3345";"2225";"1120";"3119";"2079";"1040";"226";"146";"80"
"Franca (SP)";"Total";"Total";"288473";"137970";"150503";"282349";"135295";"147054";"6124";"2675";"3449"
"Francisco Morato (SP)";"Total";"Total";"128500";"61888";"66612";"121916";"58853";"63063";"6584";"3035";"3549"
"Franco da Rocha (SP)";"Total";"Total";"115846";"57923";"57923";"111164";"55695";"55469";"4682";"2228";"2454"
"Gabriel Monteiro (SP)";"Total";"Total";"2306";"1145";"1161";"2185";"1092";"1093";"121";"53";"68"
"Gália (SP)";"Total";"Total";"5330";"2584";"2746";"4980";"2429";"2551";"350";"155";"195"
"Garça (SP)";"Total";"Total";"35003";"16679";"18324";"33566";"16122";"17444";"1437";"557";"880"
"Gastão Vidigal (SP)";"Total";"Total";"2687";"1295";"1392";"2443";"1179";"1264";"244";"116";"128"
