Cod_mun;municipios;PIB;Ano
3529609;Meridiano;R$ 437.548.090,;2023
3529658;Mesópolis;R$ 108.331.327,;2023
3529708;Miguelópolis;R$ 1.113.098.239,;2023
3529807;Mineiros do Tietê;R$ 309.941.386,;2023
3530003;Mira Estrela;R$ 77.240.190,;2023
3529906;Miracatu;R$ 560.826.527,;2023
3530102;Mirandópolis;R$ 978.818.314,;2023
3530201;Mirante do Paranapanema;R$ 651.108.007,;2023
3530300;Mirassol;R$ 3.345.887.627,;2023
3530409;Mirassolândia;R$ 378.154.379,;2023
3530508;Mococa;R$ 4.014.553.266,;2023
3530607;Mogi das Cruzes;R$ 26.072.522.197,;2023
3530706;Mogi Guaçu;R$ 9.433.837.649,;2023
3530805;Mogi Mirim;R$ 8.092.719.130,;2023
3530904;Mombuca;R$ 179.188.607,;2023
3531001;Monções;R$ 77.880.840,;2023
3531100;Mongaguá;R$ 1.535.905.805,;2023
3531209;Monte Alegre do Sul;R$ 304.555.388,;2023
3531308;Monte Alto;R$ 3.062.782.095,;2023
3531407;Monte Aprazível;R$ 1.038.559.710,;2023
3531506;Monte Azul Paulista;R$ 958.013.847,;2023
3531605;Monte Castelo;R$ 161.947.180,;2023
3531803;Monte Mor;R$ 6.049.397.718,;2023
3531704;Monteiro Lobato;R$ 113.890.985,;2023
3531902;Morro Agudo;R$ 1.980.195.494,;2023
3532009;Morungaba;R$ 765.640.893,;2023
3532058;Motuca;R$ 171.027.138,;2023
3532108;Murutinga do Sul;R$ 113.474.072,;2023
3532157;Nantes;R$ 189.555.515,;2023
3532207;Narandiba;R$ 896.056.601,;2023
3532306;Natividade da Serra;R$ 159.424.698,;2023
3532405;Nazaré Paulista;R$ 595.409.604,;2023
3532504;Neves Paulista;R$ 384.591.644,;2023
3532603;Nhandeara;R$ 507.862.208,;2023
3532702;Nipoã;R$ 146.719.324,;2023
3532801;Nova Aliança;R$ 361.490.478,;2023
3532827;Nova Campina;R$ 260.753.457,;2023
3532843;Nova Canaã Paulista;R$ 57.172.272,;2023
3532868;Nova Castilho;R$ 91.227.505,;2023
3532900;Nova Europa;R$ 556.399.529,;2023
3533007;Nova Granada;R$ 732.340.979,;2023
3533106;Nova Guataporanga;R$ 47.451.061,;2023
3533205;Nova Independência;R$ 285.939.288,;2023
3533304;Nova Luzitânia;R$ 70.079.780,;2023
3533403;Nova Odessa;R$ 5.613.296.888,;2023
3533254;Novais;R$ 105.506.875,;2023
3533502;Novo Horizonte;R$ 2.313.783.253,;2023
3533601;Nuporanga;R$ 1.235.536.788,;2023
3533700;Ocauçu;R$ 163.910.353,;2023
3533809;Óleo;R$ 143.211.547,;2023
3533908;Olímpia;R$ 3.569.675.501,;2023
3534005;Onda Verde;R$ 370.589.412,;2023
3534104;Oriente;R$ 194.078.729,;2023
3534203;Orindiúva;R$ 830.370.242,;2023
3534302;Orlândia;R$ 3.247.647.904,;2023
3534401;Osasco;R$ 119.404.052.763,;2023
3534500;Oscar Bressane;R$ 123.399.289,;2023
3534609;Osvaldo Cruz;R$ 1.615.247.661,;2023
3534708;Ourinhos;R$ 4.902.761.910,;2023
3534807;Ouro Verde;R$ 186.891.202,;2023
3534757;Ouroeste;R$ 670.735.495,;2023
3534906;Pacaembu;R$ 285.243.693,;2023
3535002;Palestina;R$ 603.348.105,;2023
3535101;Palmares Paulista;R$ 209.646.424,;2023
3535200;Palmeira d'Oeste;R$ 308.863.583,;2023
3535309;Palmital;R$ 1.405.806.538,;2023
3535408;Panorama;R$ 397.152.926,;2023
3535507;Paraguaçu Paulista;R$ 3.133.901.500,;2023
3535606;Paraibuna;R$ 408.569.087,;2023
3535705;Paraíso;R$ 436.076.194,;2023
3535804;Paranapanema;R$ 1.222.547.491,;2023
3535903;Paranapuã;R$ 160.652.727,;2023
3536000;Parapuã;R$ 1.150.355.727,;2023
3536109;Pardinho;R$ 515.970.722,;2023
3536208;Pariquera-Açu;R$ 753.096.869,;2023
3536257;Parisi;R$ 67.930.902,;2023
3536307;Patrocínio Paulista;R$ 1.850.012.193,;2023
3536406;Paulicéia;R$ 322.393.938,;2023
3536505;Paulínia;R$ 67.067.300.461,;2023
3536570;Paulistânia;R$ 74.506.181,;2023
3536604;Paulo de Faria;R$ 426.145.814,;2023
3536703;Pederneiras;R$ 3.840.420.972,;2023
3536802;Pedra Bela;R$ 147.569.268,;2023
3536901;Pedranópolis;R$ 116.927.575,;2023
3537008;Pedregulho;R$ 1.417.487.589,;2023
3537107;Pedreira;R$ 1.817.291.527,;2023
3537156;Pedrinhas Paulista;R$ 177.967.145,;2023
3537206;Pedro de Toledo;R$ 208.399.244,;2023
3537305;Penápolis;R$ 2.743.179.555,;2023
3537404;Pereira Barreto;R$ 1.495.859.413,;2023
3537503;Pereiras;R$ 410.463.048,;2023
3537602;Peruíbe;R$ 2.366.996.023,;2023
3537701;Piacatu;R$ 160.075.041,;2023
3537800;Piedade;R$ 1.839.652.070,;2023
3537909;Pilar do Sul;R$ 1.502.793.869,;2023
3538006;Pindamonhangaba;R$ 13.674.680.185,;2023
3538105;Pindorama;R$ 733.295.538,;2023
3538204;Pinhalzinho;R$ 416.404.895,;2023
3538303;Piquerobi;R$ 100.296.285,;2023
3538501;Piquete;R$ 227.360.717,;2023
3538600;Piracaia;R$ 799.448.681,;2023
3538709;Piracicaba;R$ 44.351.587.750,;2023
3538808;Piraju;R$ 1.088.629.415,;2023
3538907;Pirajuí;R$ 737.808.736,;2023
3539004;Pirangi;R$ 535.545.259,;2023
3539103;Pirapora do Bom Jesus;R$ 693.313.531,;2023
3539202;Pirapozinho;R$ 1.410.928.462,;2023
3539301;Pirassununga;R$ 4.304.413.432,;2023
3539400;Piratininga;R$ 389.654.818,;2023
3539509;Pitangueiras;R$ 1.830.159.520,;2023
3539608;Planalto;R$ 331.486.812,;2023
3539707;Platina;R$ 160.405.565,;2023
3539806;Poá;R$ 4.610.760.103,;2023
3539905;Poloni;R$ 199.994.460,;2023
3540002;Pompéia;R$ 2.509.065.063,;2023
3540101;Pongaí;R$ 124.380.214,;2023
3540200;Pontal;R$ 2.153.953.579,;2023
3540259;Pontalinda;R$ 131.996.978,;2023
3540309;Pontes Gestal;R$ 152.498.657,;2023
3540408;Populina;R$ 156.037.352,;2023
3540507;Porangaba;R$ 309.199.549,;2023
3540606;Porto Feliz;R$ 5.067.048.835,;2023
3540705;Porto Ferreira;R$ 3.069.355.360,;2023
3540754;Potim;R$ 355.270.826,;2023
3540804;Potirendaba;R$ 1.017.222.502,;2023
3540853;Pracinha;R$ 44.001.326,;2023
3540903;Pradópolis;R$ 1.456.795.944,;2023
3541000;Praia Grande;R$ 11.396.645.549,;2023
3541059;Pratânia;R$ 252.654.531,;2023
3541109;Presidente Alves;R$ 112.971.570,;2023
3541208;Presidente Bernardes;R$ 351.783.368,;2023
3541307;Presidente Epitácio;R$ 1.521.762.210,;2023
3541406;Presidente Prudente;R$ 11.617.598.706,;2023
3541505;Presidente Venceslau;R$ 1.096.298.255,;2023
3541604;Promissão;R$ 3.349.680.915,;2023
3541653;Quadra;R$ 209.960.369,;2023
3541703;Quatá;R$ 1.087.543.316,;2023
3541802;Queiroz;R$ 1.095.800.380,;2023
3541901;Queluz;R$ 481.508.718,;2023
3542008;Quintana;R$ 371.696.180,;2023
3542107;Rafard;R$ 594.930.466,;2023
3542206;Rancharia;R$ 1.999.656.704,;2023
3542305;Redenção da Serra;R$ 122.058.723,;2023
3542404;Regente Feijó;R$ 1.293.798.465,;2023
3542503;Reginópolis;R$ 270.644.409,;2023
3542602;Registro;R$ 2.931.914.980,;2023
3542701;Restinga;R$ 311.796.861,;2023
3542800;Ribeira;R$ 61.921.669,;2023
3542909;Ribeirão Bonito;R$ 494.054.078,;2023
3543006;Ribeirão Branco;R$ 640.748.923,;2023
3543105;Ribeirão Corrente;R$ 282.574.463,;2023
3543204;Ribeirão do Sul;R$ 326.854.578,;2023
3543238;Ribeirão dos Índios;R$ 56.509.323,;2023
3543253;Ribeirão Grande;R$ 127.268.877,;2023
3543303;Ribeirão Pires;R$ 4.853.228.612,;2023
3543402;Ribeirão Preto;R$ 52.306.819.755,;2023
3543600;Rifaina;R$ 232.910.865,;2023
3543709;Rincão;R$ 346.936.887,;2023
3543808;Rinópolis;R$ 495.679.830,;2023
3543907;Rio Claro;R$ 15.427.116.506,;2023
3544004;Rio das Pedras;R$ 2.037.525.868,;2023
3544103;Rio Grande da Serra;R$ 1.166.050.396,;2023
3544202;Riolândia;R$ 390.634.838,;2023
3543501;Riversul;R$ 119.164.482,;2023
3544251;Rosana;R$ 1.542.730.941,;2023
3544301;Roseira;R$ 450.314.327,;2023
3544400;Rubiácea;R$ 88.678.676,;2023
3544509;Rubinéia;R$ 196.382.182,;2023
3544608;Sabino;R$ 183.224.581,;2023
3544707;Sagres;R$ 72.625.441,;2023
3544806;Sales;R$ 266.233.881,;2023
3544905;Sales Oliveira;R$ 529.464.336,;2023
3545001;Salesópolis;R$ 310.985.155,;2023
3545100;Salmourão;R$ 114.823.550,;2023
3545159;Saltinho;R$ 471.342.306,;2023
3545209;Salto;R$ 11.498.958.795,;2023
3545308;Salto de Pirapora;R$ 2.856.415.228,;2023
3545407;Salto Grande;R$ 394.927.897,;2023
3545506;Sandovalina;R$ 455.962.205,;2023
3545605;Santa Adélia;R$ 560.338.958,;2023
3545704;Santa Albertina;R$ 333.896.991,;2023
3545803;Santa Bárbara d'Oeste;R$ 10.803.991.725,;2023
3546009;Santa Branca;R$ 357.556.385,;2023
3546108;Santa Clara d'Oeste;R$ 130.552.835,;2023
3546207;Santa Cruz da Conceição;R$ 200.489.693,;2023
3546256;Santa Cruz da Esperança;R$ 101.458.892,;2023
