id_municipio,municipio,ano,n_consumado,n_tentativa,n_outro,n_total
3511904,Clementina,2024,0,0,0,0
3511904,Clementina,2025,0,0,0,0
3512001,Colina,2022,0,0,0,0
3512001,Colina,2023,0,2,0,2
3512001,Colina,2024,0,0,0,0
3512001,Colina,2025,0,0,0,0
3512100,Colômbia,2022,0,0,0,0
3512100,Colômbia,2023,0,0,0,0
3512100,Colômbia,2024,0,0,0,0
3512100,Colômbia,2025,0,0,0,0
3512209,Conchal,2022,0,1,0,1
3512209,Conchal,2023,0,0,0,0
3512209,Conchal,2024,0,0,0,0
3512209,Conchal,2025,0,0,0,0
3512308,Conchas,2022,0,0,0,0
3512308,Conchas,2023,0,0,0,0
3512308,Conchas,2024,0,0,0,0
3512308,Conchas,2025,0,0,0,0
3512407,Cordeirópolis,2022,0,1,0,1
3512407,Cordeirópolis,2023,1,0,0,1
3512407,Cordeirópolis,2024,0,1,0,1
3512407,Cordeirópolis,2025,1,1,0,2
3512506,Coroados,2022,0,0,0,0
3512506,Coroados,2023,1,0,0,1
3512506,Coroados,2024,0,0,0,0
3512506,Coroados,2025,0,0,0,0
3512605,Coronel Macedo,2022,0,0,0,0
3512605,Coronel Macedo,2023,0,0,0,0
3512605,Coronel Macedo,2024,0,0,0,0
3512605,Coronel Macedo,2025,0,0,0,0
3512704,Corumbataí,2022,0,0,0,0
3512704,Corumbataí,2023,0,0,0,0
3512704,Corumbataí,2024,0,0,0,0
3512704,Corumbataí,2025,0,0,0,0
3512803,Cosmópolis,2022,0,1,0,1
3512803,Cosmópolis,2023,1,1,0,2
3512803,Cosmópolis,2024,0,1,0,1
3512803,Cosmópolis,2025,0,0,0,0
3512902,Cosmorama,2022,0,0,0,0
3512902,Cosmorama,2023,0,0,0,0
3512902,Cosmorama,2024,0,0,0,0
3512902,Cosmorama,2025,0,0,0,0
3513009,Cotia,2022,0,2,0,2
3513009,Cotia,2023,1,0,0,1
3513009,Cotia,2024,1,1,0,2
3513009,Cotia,2025,1,0,0,1
3513108,Cravinhos,2022,0,1,0,1
3513108,Cravinhos,2023,0,0,0,0
3513108,Cravinhos,2024,0,0,0,0
3513108,Cravinhos,2025,0,0,0,0
3513207,Cristais Paulista,2022,0,0,0,0
3513207,Cristais Paulista,2023,0,0,0,0
3513207,Cristais Paulista,2024,0,0,0,0
3513207,Cristais Paulista,2025,0,0,0,0
3513306,Cruzália,2022,0,0,0,0
3513306,Cruzália,2023,0,0,0,0
3513306,Cruzália,2024,0,0,0,0
3513306,Cruzália,2025,0,0,0,0
3513405,Cruzeiro,2022,0,1,0,1
3513405,Cruzeiro,2023,0,0,0,0
3513405,Cruzeiro,2024,1,0,0,1
3513405,Cruzeiro,2025,0,1,0,1
3513504,Cubatão,2022,0,1,0,1
3513504,Cubatão,2023,1,0,0,1
3513504,Cubatão,2024,0,0,0,0
3513504,Cubatão,2025,0,1,0,1
3513603,Cunha,2022,0,0,0,0
3513603,Cunha,2023,1,0,0,1
3513603,Cunha,2024,0,0,0,0
3513603,Cunha,2025,0,0,0,0
3513702,Descalvado,2022,0,0,0,0
3513702,Descalvado,2023,0,0,0,0
3513702,Descalvado,2024,0,0,0,0
3513702,Descalvado,2025,0,0,0,0
3513801,Diadema,2022,0,3,0,3
3513801,Diadema,2023,2,3,0,5
3513801,Diadema,2024,1,6,0,7
3513801,Diadema,2025,0,6,0,6
3513850,Dirce Reis,2022,0,0,0,0
3513850,Dirce Reis,2023,0,0,0,0
3513850,Dirce Reis,2024,0,0,0,0
3513850,Dirce Reis,2025,0,0,0,0
