id_municipio,municipio,ano,n_consumado,n_total,n_tentativa,taxa_feminicidio_consumado_100k,taxa_feminicidio_total_100k,populacao,pib_per_capita_2022,taxa_alfabetizacao,anos_medios_estudo,pct_ensino_medio,pct_ensino_superior,taxa_urbanizacao_pct,taxa_saneamento_basico_pct,taxa_trafico_drogas_100k
3501905,Amparo,2023,0,0,0,0.0,0.0,68008,90523.65992236209,0.9677560523045146,10.3,0.600353860874903,0.1922944989077253,92.6258625618,89.8248336123,164.68650746970943
3501905,Amparo,2024,0,0,0,0.0,0.0,69717,90523.65992236209,0.9677560523045146,10.3,0.600353860874903,0.1922944989077253,92.6258625618,89.8248336123,144.87140869515326
3501905,Amparo,2025,0,2,2,0.0,2.865657955066484,69792,90523.65992236209,0.9677560523045146,10.3,0.600353860874903,0.1922944989077253,92.6258625618,89.8248336123,104.59651535992664
3502002,Analândia,2022,0,0,0,0.0,0.0,4589,45964.652211810855,0.9554535637149028,9.9,0.584,0.1765714285714285,85.0506253722,85.2293031566,174.3299193724123
3502002,Analândia,2023,0,0,0,0.0,0.0,4589,45964.652211810855,0.9554535637149028,9.9,0.584,0.1765714285714285,85.0506253722,85.2293031566,0.0
3502002,Analândia,2024,0,1,1,0.0,21.34927412467976,4684,45964.652211810855,0.9554535637149028,9.9,0.584,0.1765714285714285,85.0506253722,85.2293031566,234.84201537147734
3502002,Analândia,2025,0,0,0,0.0,0.0,4694,45964.652211810855,0.9554535637149028,9.9,0.584,0.1765714285714285,85.0506253722,85.2293031566,170.43033659991477
3502101,Andradina,2022,0,1,1,0.0,1.6727163240386065,59783,67559.32428951374,0.9625850340136054,10.1,0.5473026952024556,0.1855947525543455,94.149057551,95.3721874857,107.0538447384708
3502101,Andradina,2023,0,0,0,0.0,0.0,59783,67559.32428951374,0.9625850340136054,10.1,0.5473026952024556,0.1855947525543455,94.149057551,95.3721874857,90.32668149808474
3502101,Andradina,2024,1,2,1,1.6267304344996991,3.2534608689993982,61473,67559.32428951374,0.9625850340136054,10.1,0.5473026952024556,0.1855947525543455,94.149057551,95.3721874857,89.47017389748345
3502101,Andradina,2025,0,0,0,0.0,0.0,61625,67559.32428951374,0.9625850340136054,10.1,0.5473026952024556,0.1855947525543455,94.149057551,95.3721874857,126.57200811359026
3502200,Angatuba,2022,0,0,0,0.0,0.0,24022,69168.115560736,0.9584566651087916,9.2,0.4770862955266324,0.1337635349447664,70.6110914871,83.4216413517,87.41986512363667
3502200,Angatuba,2023,0,0,0,0.0,0.0,24022,69168.115560736,0.9584566651087916,9.2,0.4770862955266324,0.1337635349447664,70.6110914871,83.4216413517,74.93131296311714
